,Question_Links,Views,Upvotes,Spaces,Questions,Answers
19,https://www.quora.com/Can-I-stop-the-learning-of-algorithms-I-learned-data-structures-but-I-felt-algorithms-quite-tough-to-me-as-a-non-IT-student/answer/Kamal-Raj-17,30,–,www.quora.com,Can-I-stop-the-learning-of-algorithms-I-learned-data-structures-but-I-felt-algorithms-quite-tough-to-me-as-a-non-IT-student,"One doesn't learn algorithm, one creates it by trying to solve the problem at hand.
I had fallen in same trap. Started learning algorithm abstractly. Then I quit. Wasted my precious ti
The algorithms are for solving problems thru coding. So here is an Algorithm to solve your challenge.
Start program.
Learn one programming language, throughly. Its syntax, vocabulary, decision making, looping… etc
There are coding exercises that involve usage of the language. Not solving puzzles, these are straight forward programming. Solve atleast 50 such problems with programming language you are learning
Then take a book on problem solving through coding, and start solving the problems by coding them. Alternatively you can use platforms like dmoj, codewars, usaco etc to do the same
Then take a book on applied algorithms. There you will learn more deeper application of algorithms.
All the above steps ensure you are coding every day atleast 5 to 8 hours.
After that have a lot of fun in life….(Once your computer is working for you can have fun. I am not kidding)
End of program"
21,https://www.quora.com/Will-there-be-more-data-science-and-machine-learning-jobs-in-the-future-I%E2%80%99m-wondering-if-it-is-a-good-career-choice/answer/Kamal-Raj-17,17,–,www.quora.com,Will-there-be-more-data-science-and-machine-learning-jobs-in-the-future-I%E2%80%99m-wondering-if-it-is-a-good-career-choice,"Forget about getting a job. In future there will be no “job” in the sense our grand dad, our dad and we have. A bold statement… I am passionate to get machines to do the work for me. Being a Mechanical Engineer, love for machines is a given…
We are talking about Data Science and Machine learning, where machines do the work. So think about building Machines and Tools that learn and others can use. We are in Quora Universe, we are surrounded with data. So what tool can we build?
A Live Example:
In Quora there are many who ask questions and many who write answers. Answering a question is a creative task, only humans can do it… correct? Nope, Machines are already doing it (check out open ai). Can we write a program that can help us to “Automate Answering for Questions at Quora”
Here is a recipe for anybody who has written answers to some 500 or so questions in Quora. Many questions in your domain of expertise gets repeated. Assumption is, if the questions are similar the answers to those questions will also be similar.
What if we can write a program to find similar questions, and then retrieve those questions along with their answers for a “New Question”. Here is a pseudocode for doing it…
Use pandas and numpy library to work with these columns. BTW, in this code there are libraries in which the ML models are used for finding the similarities. We only write the computer program to feed data and receive the answers.
The columns will look like this in the jupyter notebook… There are more questions, and the answers are verrrrry long. You get the idea.
Lets take your question and in the backend I have run the program and found following three questions that are similar to yours. The function “get_most_similar” returned three questions that I have already answered which are similar to the current question.
The first question returned by the program is a question that I have already answered here
If you see the answers, it speaks about various careers and it includes ML, Data Science and Robotics. Also it shows, how much I have changed my opinion about careers between Sep’21 to May’22. Yep, it is fun when you go and read your answers. (and think, did I write that!!!)
The joy of getting things done by computers is more fun, and satisfying. Especially when you can use it to speed up the spreading of your idea. Data Science and ML is supercharging this idea spread. In not so far future the “jobs” today will be obsolete. The new passion will involve lot more to do with problem solving using coding, algorithms and logic. Then the machines will do the grunt work based on your code…. (Puzzled about how will those future people, us will survive without money, or job? Will they… we need money!!!!)
Get into learning to code, solving problems and having a lot of fun… Many are doing it already."
26,https://www.quora.com/If-I-wanted-to-eventually-start-a-startup-potentially-some-sort-of-tech-startup-out-of-AI-SWE-and-DS-what-discipline-would-be-best-to-specialize-in-after-a-degree-in-comp-sci/answer/Kamal-Raj-17,126,–,www.quora.com,If-I-wanted-to-eventually-start-a-startup-potentially-some-sort-of-tech-startup-out-of-AI-SWE-and-DS-what-discipline-would-be-best-to-specialize-in-after-a-degree-in-comp-sci,"Industrial revolution brought us the roads, cars, planes and factories
Information revolution bought us the power computation, network connectivity and near infinite storage. It also brought us speed and ability to get things done fast and store for future. Work was digitally transferrable for the First time in Human history.
Computer programs with the interpreters and compilers have the ability to be Human Eyes and mimic Human logic. Software is meant for freeing us from mundane tasks. If you look around, has it been achieved?
Even with advent of AI we are improving fast in areas of testing, even coding and speed of data processing. Work, the repetitive work is still done by humans. Instead of pushing papers, today many click mouses, mail worksheet and PDF.
Whatever we see with eyes can be automated and made into software. Think about any calculations, optimisations, visualisations, much of sorting, searching, greedy search, dynamic programming algorithms all have the basic objective of replacing the human eyes with that of logic and program.
To answer you, there are many opportunities to start a profitable project and same time have a fulfilling life when you look at the world with new set of eyes. That is how most of the companies are created. The sales, marketingt or mostly push techniques using addiction and other manipulation to get the sales. Only good poducts have very concrete use case and the demand is always there. We have lot of examples with Google. MS and even in many technology companies are based on this concept only.
Have a great time and starting up."
27,https://www.quora.com/Is-there-a-real-time-stock-market-data-feed-API-for-NSE-BSE-Mcx-to-implement-in-our-custom-software/answer/Kamal-Raj-17,593,2,www.quora.com,Is-there-a-real-time-stock-market-data-feed-API-for-NSE-BSE-Mcx-to-implement-in-our-custom-software,"Some information lies right under your nose, and we miss it. There is API called nsetools, and its document for your reference.
Checked it out on weekend, will report more data based on the real time market information on active market.
Edit1:
Stockmarket is very global creation, so need to take into consideration more than just indian stocks. In order access data outside india. Quandl and Stooq can be a powerful allies. Quandl is giving access to their free datasets with API Key. While Stooq is free. Work with a holistic view."
30,https://www.quora.com/Is-it-okay-if-I-do-competitive-programming-with-Python-just-to-gain-the-problem-solving-skills-and-focus-on-development/answer/Kamal-Raj-17,14,–,www.quora.com,Is-it-okay-if-I-do-competitive-programming-with-Python-just-to-gain-the-problem-solving-skills-and-focus-on-development,"Yes it is okay. I have been working with Python for competetive programming on Usaco, Dmoj and Kattis judges. They accept the python scripts.
When the memory or time intensive problems come then you will face issue. By that time however you would have learnt to handle them. So start the journey take first step."
34,https://www.quora.com/What-is-the-best-online-platform-to-learn-AI-for-my-child/answer/Kamal-Raj-17,194,–,www.quora.com,What-is-the-best-online-platform-to-learn-AI-for-my-child,"Question made me think whether Children of this generation are ready to learn heavily abstracted AI algorithms? Yes they are ready, but shouldn’t we train them to solve problem instead of abstracting away the complexity and messiness of the problems? Feels like a good debate topic to me. Keeping the debate aside, IMHO Kids have to be thought Problem Solving first.
Kids would be better off learning to problem solve, and code in their preferred language first. Once they tackle basic problem solving, and learn how the computer memory and processor works then the AI can be introduced.
Start with online judges like DMOJ, USACO, KATTIS where there are problems of various difficulties. Let the kids solve the entry level problems. Solve here means, that the kid comes up with the steps to find the solution to a problem. He/ she need not code it in a programming language.
If they get hooked to the problem solving, and abstract the many algorithmic concepts then AI can be introduced. AI is type of problem solving, and many kids do use AI today in competitive programming contests. Not all problems need AI. This is the hard truth. Most of the problems can be efficiently solved by using the “Big Brains” given to us humans."
35,https://www.quora.com/Doesnt-NFTs-have-a-major-loophole-How-would-one-prove-which-one-is-the-real-NFT-if-someone-screenshots-your-NFT-art-and-sells-it-on-a-different-platform/answer/Kamal-Raj-17,11,–,www.quora.com,Doesnt-NFTs-have-a-major-loophole-How-would-one-prove-which-one-is-the-real-NFT-if-someone-screenshots-your-NFT-art-and-sells-it-on-a-different-platform,"Once can screen shot all one wants. If one wants to prove that is his NFT, he has to register that piece of screen shot on a blockchain like Open Sea or other hosting chains. For that registration one has to pay in crypto coins. That costs money.
Whether it is a loop hole depends on how much one spends, to register that piece of screen shot. Higher the cost to register, lesser you will want to copy someone’s screen shot. If you are putting your own money, then why not create your own art. In this way, loop hole that you are thinking is circumvented.
At the same time, some who go ahead copying the screen shot without thinking and register it in blockchain to realize there is no way to get their money back, except to sell their NFT, they start marketing the nft. In order to market, you have to spend “time”. Which is costlier than money.
So there again, the loop of NFT is closed. In long run only those legitimate NFTs will be there. Rest will slowly fade into obscurity."
37,https://www.quora.com/I-am-new-to-machine-deep-learning-I-need-to-make-myself-able-to-code-using-different-techniques-What-should-I-do-first-and-what-possible-road-map-should-I-follow/answer/Kamal-Raj-17,15,–,www.quora.com,I-am-new-to-machine-deep-learning-I-need-to-make-myself-able-to-code-using-different-techniques-What-should-I-do-first-and-what-possible-road-map-should-I-follow,"If you are interested in learning to Code then, ML will come as the last step in the road map.
Step 1, Start by learning the syntax of the programming language of your choice “the hard way”. That is by typing the example problems.
Step 2, Solve a lot of problems using code and get it tested on multiple inputs. You can use online judges, and their own problems if you are experienced in solving problems.
Step 3, Learn new algorithms and data structures and see if your old solutions can be modified
Step 4, Bring in Object Orient programming and learn new way of thinking about the problems
Step 5, Learn about the ML machinery, libraries, their implementation in detail. Try a lot of problems
(I am unable to share the links of resources on quora, since it is considered as promoting these tools, so please search with the keywords, that are marked with “keyword”)
Machine learning is just a machinery, like shredder in office. Your code will take the data to the Machinery and process the data. You have to aim at coding the machinery itself, if necessary “from Scratch”. Search for coding “Data science from Scratch”. You will find very interesting material and books. Steadily develop your understanding of the ML machinery.
Start with the Why? in the Mind. Prefer to master anything that you start learning, for being in the flow and achieve happiness. The world might be in chaos, but when you sit in your bunk and start typing that calmness spreads. That is result of mastering. Have the same objective in mind.
But How? Coding mastery can be achieved by learning to solve problems with coding. Solve easy problems with coding first, and then solve increasingly tougher problems. I have written the same formula in many other answers, that is the proven solution. Search for “Programming Challenges, Online Judges, Competitive programming” and you will find interesting materials in the internet. Feast on them.
There is nothing competitive about Competitive programming. Every solution till date is shared and the competitors themselves want many others to learn problem solving. They get that feeling of calmness and happiness when they code and solve problems. (Glory and fame is major motivator, but cannot be sustained for long lasting mastery). They are spreading their love for CP with the tools, online judges, websites, books and lot of free resources. Use them, and importantly share them with coming generation.
Have a great time."
41,https://www.quora.com/What-is-a-good-source-to-learn-design-and-analysis-of-algorithm/answer/Kamal-Raj-17,57,–,www.quora.com,What-is-a-good-source-to-learn-design-and-analysis-of-algorithm,"The good source to learn design and analysis of algorithms… is by solving Problems.
The Problem:
Lets take a simple problem. You are given a list that contain email addresses, and you need to clean it. This is standard requirement in many companies where the email address recieved from surveys, online campaigns, and marketing activities. The email addresses needs to follow the industry standard.
The Solution:
Looks simple, so you write the code in python using the lists and string manipulation functions. When your email address is cleaned, you want to add it to a list for later use. You want to avoid duplicates, so you “Check” if the email_address is already in list before appending it. Like below
“”“ If address not in address_list:
address_list.append(address) “””
The Analysis:
This is where the analysis kicks into gear. The “in” keyword checks every element in the list before returning True/ False to the program. If there are 100K addresses, every time it checks all the 100K address.
The complexity of this search is O(n X m). Where n is number of address in list and m is the new addresses being added to the list. This means the work or steps taken by the algorithm for completing a task, in this case to append an e-mail address. If there are 100K address in list, and another 100K to be added then you see how the work increases for the processor.
The Solution:
The solution is simply using the Set() instead of using List(). Set() searches in O(1) time, near instantaneous, since that is how that data structure is built.
As I already explained, the problem had to be solved first. Then when the problem is slow the analysis for new and faster solution is undertaken. In order to learn, start solving problem. (This solution I learnt from a book and wanted would be problem solvers to know)
The Procrastination:
I had been procrastination the training on Problem solving for more than 12 months. I was confident that learning the Data Science, Visualisation, Web Scraping, Data base and Data Wrangling libraries, I can solve the problems. It did not work out that way. When I think about the problem solving, even open the problem webpage in front of me, butterflies started flying in my stomach. On top of that, I had a feeling that, I am smart enough and seen enough courses so I don’t need to show to the world that I can solve it…. How wrong I was….
Game It:
Push yourself out of this procrastination. Take some books on “problems solving through coding” (search for this sentence) and start working on that book chapters and exercises. You will be astonished how interesting the world of problem solving can be. It is like playing video games with puzzles. The more you play, better you will become. There are many online judges that can test your code and provide feedback.
Pro and Con of Videos
Letting others solve your problem of (Learning problem solving, algorithm design and Data structures) by watching them will help only 10 to 30%. It can provide
After that the Cons start.
Take the book, or go to the problem hosting website and start solving. Have a great time. It is a wonderful world."
42,https://www.quora.com/What-are-some-good-books-on-machine-learning/answer/Kamal-Raj-17,106,1,www.quora.com,What-are-some-good-books-on-machine-learning,"The book that teaches you data science “from Scratch” is the best. Just give it a search you will find. Once you read it, then realize. Ooh Data Science is about coding, problem solving and Math. Not just libraries and jargons."
44,https://www.quora.com/How-do-I-start-learning-or-strengthen-my-knowledge-of-data-structures-and-algorithms/answer/Kamal-Raj-17,28,–,www.quora.com,How-do-I-start-learning-or-strengthen-my-knowledge-of-data-structures-and-algorithms,"Why you want to strengthen algorithms? To solve problems. Period.
You strengthen your knowledge by solving the problems of increasing complexity with constant practice. Key to practice is Testing and Feed Back. Not reading. In fact you should not read at all. Reading is like consuming fast food. Reading this answer too is waste of your time. (Now that you started reading, read on there is some interesting pointers that will help you move forward and be worth your time.)
In this time you be solving one problem, trying to implement and test it. You would have learnt something more interesting about the problem. Best problem solvers, chess players, game masters, Go players all do just that, sit and solve.
There are countless books that explain the datastructures and algorithms.In
reality many problems don't need complex algorithms. Even the algorithm developers first find the solution, then if the solution is slow then they move to a different faster algorithms. A programmer, or problem solver need not worry about what options are there until he has solved the problem.
Where to find problems that are curated according to the difficulty level?
There is USACO, then DMoJ both of which I am finding very approachable, even though I come from non-computer science back ground. Codeforces, Hackerrank, leetcode too or some good platforms. These platforms have online free courses which provides deep knowledge about the various aspects of problem solving, algorithm development and Data structures. They too insist on Solving Problems and in parallel learn more new stuff. Irony eh.
When you are coding software, there might be no constraint on speed or about efficiency. In Competetive programming, Data Science and engineering the speed and efficiency becomes very important. Because large datasets are parsed through. When a million rows moves in and out of a model, keeping the execution of your function in seconds will make the overall program run for the whole day. We think computers are fast. But they have to work. Work takes time. I have done such mistakes and then realized the amount of computation that was wasted.
So open the IDE, and get coding. Get some mileage in solving problems. Make some mistakes, correct them. Laugh at yourself. If you attempt 100 problems, you might solve 70 or 50 and pass all tests, thats fine. Solve. Like Alec Baldwin says keep on closing, our magic words or “Keep on Solving”.
Once you get some mileage then read solutions to the problems other coders have come up with. Many of these sites have the solutions to past contests. Solve the contest problem yourself “and then” read the other programmers solution and implementation.
Solving… Reading Code and again Solving. You will then start seeing patterns. And then learn. Like a kid falling, getting up and then running. That is when the books on algorithms and DS makes sense.
The concepts will mean nothing if you don't experience the pain being stuck in a problem, or taking a longer solution, coding it and then finding there is simpler datastructure. (This happens in real life many times, for us to realise the error)
Your memory becomes stronger with such a practice and revelation. All the best solving problems, and come post your experience after your adventure with solving problems."
46,https://www.quora.com/Why-do-you-wiggle-the-shifter/answer/Kamal-Raj-17,20,–,www.quora.com,Why-do-you-wiggle-the-shifter,"To know if the vehicle gear box is engaged with any of the gears. When it is engaged there is no wiggle room. So the driver can intuitively know the vehicle is “in“ gear as it is said.
This is important when a new driver starts the vehicle. If the gear is not checked and if the vehicle is started, the vehicle jumps forward. This hurts the battery and the engine. Also it shows the driver is an L-Board(never tail an L board even if she is miss universe, you will meet with an accident).
When you start any thing, not just a vehicle one has to check if everything that is required for the activity is available. The wiggle check is one such simple but crucial activity, that has become an habit for the stick shift drivers."
47,https://www.quora.com/I-am-trying-to-get-into-data-science-I-completed-graduation-from-physics-I-have-some-basic-idea-about-Python-coding-I-know-there-are-many-courses-but-I-dont-know-where-to-start/answer/Kamal-Raj-17,39,1,www.quora.com,I-am-trying-to-get-into-data-science-I-completed-graduation-from-physics-I-have-some-basic-idea-about-Python-coding-I-know-there-are-many-courses-but-I-dont-know-where-to-start,"Start by Problem Solving with Coding. Code should flow from your fingers the moment you feel that you understand a problem. I have been proponent of Mastery and being in Zen like Flow. Meditation and Problem Solving are two places out of many, where you can be in such a state of flow.
There are two ways of solving the problem, one is using the closed form equation(Wave Equation for example), and another is using Algorithmic process(Gradient Descent that is used extensively). When you solve real world problems, it is always using Algorithms. We might use closed form equations in some steps.
Take simple physics problems and try coding them, plotting the equations. Use Sympy library, along with Matplotlib. Start playing around with python visualisation, and sympy algebraic solvers. There are couple of books that talk of simulating physics, math and real world problem with python (search for them in google, here I am unable to share). Solve the exercise in those books. (I am a mechanical engineer by training, and it is exhilarating feeling to see the problems getting solved and test cases pass)
The business problems out there need multiple conditions to be checked, and finally decisions to be made. So the main objective of Data Science is to solve countless problems and find these conditions. That too repetitively, at high speed and using available resources. Coding is the only way."
